apr 28 23:31:44 <canonprinter>	(i'm fairly new to html) i have a table and its border is "1" and its cellspacing is "1", but the border looks like this http://i.icap.me/2941430278757bb23.png , is there a way i can make the border as thin as like 1 pixel
<uskerine>	hi, is there any linux command line utility to automatically indent html code?
<gemclip>	what editor?
<uskerine>	command line, no editor
<gemclip>	that doesnt make sense
<gemclip>	how are you looking at the code?
<uskerine>	i use vi
<gemclip>	so vi is your editor
<uskerine>	ok, a tool for vi would fit too
<uskerine>	but i would prefer command line
<gemclip>	use the > command. to indent 5 lines, 5>>
<gemclip>	vi is not the command line
<uskerine>	i am looking for something like this: http://manpages.ubuntu.com/manpages/dapper/man1/tidy.1.html
<gemclip>	vi is a screen-oriented text editor
<uskerine>	that command does not work
<uskerine>	i want to have an indentation mess and correct the mess
<uskerine>	html tidy works fine but it adds header and body tags, and i have files with partial html code (such as <ul> lists)
<gemclip>	do you only have a shell?
<textmode>	uskerine: for dumbfire indenting you could probably do something with sed. otherwise look at the program called "indent"
<uskerine>	there must be something, "tidy" works but it adds the "missing" tags, which in my case aren't missing
<uskerine>	found it:    tidy -config tidyconfig -wrap 132 -i -o sidebarmenu.html2 -c sidebarmenu.html
<uskerine>	you can tell not to add missing tags
<uskerine>	thanks anyway
<uskerine>	http://tidy.sourceforge.net/docs/tidy_man.html#detailed%20configuration%20options
<resio>	in html5, should you still use /> for void elements
<resio>	like <input type='submit />   or <br />
<lilmonkey>	"still"?
<resio>	yeah still
<lilmonkey>	there's no "still".
<resio>	you had to for html4
<lilmonkey>	um, no.
<resio>	well didnt -have to-
<lilmonkey>	it wasn't even valid in html4.
<resio>	alright
<resio>	xhtml
<resio>	didnt know you had to get very detailed ehre
<lilmonkey>	not for closing elements, anyway. html4, being an sgml language, uses the / alone to self-close an element, with the following > being a normal, printed character.
<resio>	thanks
<lilmonkey>	browsers chose not to implement that fun bit of sgml to help out all the idiot devs who thought they could use xml semantics in html.
<lilmonkey>	anyway, moving on...
<lilmonkey>	you are allowed to do it in html5, but you don't have to.
<lilmonkey>	"didnt know you had to get very detailed ehre"... what does that even mean? if you want a correct answer, which i'll assume you do, the question needs to be right, too, obviously.
<resio>	lilmonkey. i appreciate the help. perhaps the question wasn't "right" because i used the word 'still' and that spiraled sideways, but the purpose of my question i think was clear
<lilmonkey>	we don't just answer questions here, sorry. we educate.
<lilmonkey>	i'm terribly sorry for inconveniencing you with the burden of extra knowledge, though. perhaps next time you should ask in a different channel! :)
<resio>	:(
<visage>	"i'm terribly sorry for inconveniencing you with the burden of extra knowledge." <- new shirt slogan. :)
<lilmonkey>	hehe ^_^
<blackpawnsc>	may i ask a http protocol question?
<visage>	blackpawnsc: this channel is for html, as in markup only.
<blackpawnsc>	do you know what channel would be appropriate for questions about implementing http protocol to handle html file uploads?
<visage>	probably in whatever channel supports the language you're using.
<blackpawnsc>	well implementing a server in c... i can upload to my server properly from curl but with safari and chrome the browser sends headers then seems to wait for my server instead of continue with full file contents.. trying to figure out what response it's expecting
<visage>	right, aren't there http libraries for c?
<textmode>	visage: i presume they mean from scratch.
<visage>	probably, but it's still a c question.
<textmode>	blackpawnsc: http lint services come in real handy when developing a server. you might have to dig a bit for a free one, though.
<blackpawnsc>	well is question about the protocol. i've read the rfcs for http 1.1 and multipart/form but haven't found answer yet
<textmode>	visage: no, it really isn't. though i get your point about it not being on topic here either.
<textmode>	blackpawnsc: perhaps in ##programming ?
<textmode>	wasn't there a #webdev ?
<visage>	there's #web, and there's also ##c.
<uxfi>	elo
<blackpawnsc>	thanks for the suggestions... visage's prompt about using http library led me to google and find a couple open source ones i can look at their source code to see how they are handling post with files
<iaj>	hi there :)
<iaj>	when i want to have a button with type="submit" to submit a form from outside the actual form, how could i do that?
<dragonpunch>	i have an iframe
<dragonpunch>	<iframe width=\"540\" height=\"304\" data-src=\"//www.youtube-nocookie.com/embed/uky3scpimd8\" frameborder=\"0\" allowfullscreen></iframe>
<dragonpunch>	how do i test this and get the video?
<industrial>	hi. i have an element "<textarea id="title" class="title" placeholder="mijn subdoel is" maxlength="40" data-required="true" autofocus=""></textarea>"
<industrial>	$('#title') returns one jquery result. both $('#title').focus(); and $('#title')[0].focus(); have no effect on the input. it doesn't get focused. any idea why?
<oksushi>	industrial: this is #html - perhaps you want ##jquery?
<industrial>	oksushi: well the html api's .focus $('x')[0].focus() also didnt work
<industrial>	and it does return undefined :s
<oksushi>	this channel is for questions about html, not javascript. you can try ##javascript
<industrial>	okay.
<iaj>	hi there, which image format is best suited for being used in webdesign?
<iaj>	that shall be acting responsive?
<cojabo>	iaj: depends on what the image is of
<cojabo>	iaj: you want #web for that tho.
<sweb>	how can i tell object or embed height is auto of size of flash object ?
<sweb>	remove height attribute will hide element
<macaveli>	i have the following table is it possible to move everything up so artikel 1 and and artikel 2 start on the same height? https://jsfiddle.net/4wk0zqts/1/
<uxfi>	newbie to le html css
<visage>	uxfi: aren't they all? :)
<uxfi>	visage haha
<uxfi>	yep
<dna113p>	in html is there a tag that i can wrap every word inside of a <p></p> in that would allow me to dynamically allow me to style a word but otherwise default to a normal word in a paragraph?
<visage>	dna113p: well, html doesn't know about "dynamic" things, but you're probably thinking of span.
<darkelement>	is it possible to use a wordpress plugin in html?
<darkelement>	basically, without wordpress.
<lilmonkey>	...
<darkelement>	i'm just wondering if there is a way
<darkelement>	with php, javascript, html, etc
<visage>	...wow.
<visage>	darkelement: don't be silly.
<visage>	not that you'd want to anyway, since anything wordpress is a steaming turd.
<darkelement>	didnt think so xd
<anahumar>	can anyone take a look and tell why li display : inline is not taking place? https://jsfiddle.net/7xxqtxek/
<lilmonkey>	anahumar: please read the channel topic
<godzirra>	hey guys.  i'm watching vince allen's talk and it says one parent can have multiple box shadows.  is this true?  duplicating the box-shadow and giving it a different position on the same css selector moves the box shadow, it doesn't duplicate it for me.
<oksushi>	godzirra: #css is over there -->
<godzirra>	oh, sorry.  thanks.
<vincere>	is there any easy to repeat svg to the full width of the screen?
<elemae2>	i have a problem. i just used a youtube video with iframe and it worked. but as soon as i switched to another one, i think because of https, it won't show up.
<elemae2>	why?
<supsup>	is there any reason to have text as part of your image vs just having html text on top of the image?
<uxfi>	hi supay
<uxfi>	er
<uxfi>	supsup
<visage>	uxfi: yes?
<uxfi>	visage oh was looking for someone
<uxfi>	visage nvm ill ask here later
<visage>	if you were looking for someone, it might be a better idea to pm them or use memoserv.
<uxfi>	ah
<uxfi>	ok
<uxfi>	visage sure i'll ask le questions here later
<sal>	hi
<sal>	anyone here has experience with html mobile apps?
<visage>	mcoffee: sorry, but this channel is for markup support only. for general web-related questions or help finding tools, ask in #web.
<mcoffee>	visage: thanks, and sorry for the wrong channel.
<jayflux>	hah, thanks for the referal visage
<[alyssa]>	what's the advantage of using ul/li versus using the unicode for the bullets directly? the latter seems more flexible for my purposes..
<visage>	[alyssa]: semantics. html _always_ and _only_ describes content.
<visage>	and you always want to mark up your content the best way(s) possible.
<visage>	think about accessibility.
<visage>	if you think that "using the bullets directly" somehow implies a list, then you're stuck in the past and you still think that html is something visual, which it isn't.
<adsjlkdk>	what cool stuff cna you make with html5
<cojabo>	did you have an actual queston
<visage>	adsjlkdk: this is going to sound crazy, but you can create ...markup. unless you're talking about "html 5: the collection of technologies", but no, we only deal with the markup portion here.
<adsjlkdk>	whats the difference between htlm5 and html
<visage>	adsjlkdk: are you sure you're not just trolling?
<adsjlkdk>	why do you say i am trolling
<adsjlkdk>	are regular people expected to know the difference nowadays
<visage>	no, it's just with your nick and your questions, my troll sense just went off. :)
<adsjlkdk>	last time i remembered some people cant even use an email and you expect us to know all this
<visage>	lulwut
<adsjlkdk>	i can use an email but im just saying
<visage>	anyway, what's the difference? semantics and new technologies, such as a drawing api, among others.
<linuxmint>	hello, need some help on where to upload my littlewebsite files to the bigwebsite's domain alias little website?
<dreamstiffler>	hi guys, im new. i am trying to do a divs positioning as per here : http://ibin.co/21g7y7mnq87z . i have used relative positioning to get those divs in place. and used left:**% right: **% top bottom etc. but the problem im having is that there will always be that spacing in the bottom. i had viewed the source a few thousand times and i couldnt get whats causing the space. please also note that these divs are nested in one big d
<dreamstiffler>	got it on fiddle https://jsfiddle.net/lw2237u7/
<dreamstiffler>	the space
<keestu>	hi, is it possible to use more than one video tag in html5 in single page ?
<lilmonkey>	yes of course, why wouldn't it be...
<keestu>	getusermedia has only one callback wherein i provides only one stream object which the user have choosen ?
<lilmonkey>	keestu: and? you asked about video elements, something entirely different.
<keestu>	i use getusermedia to get local usb camera object attached and pass it to video tag.
<lilmonkey>	why don't you just ask what you mean? sounds like what you wanted to ask is if you can capture more than one local camera source at the same time, to which the answer is no.
<keestu>	lilmonkey, sorry. while i type window got changed.
<keestu>	lilmonkey, that's right.. i was thinking to capture more than one camera at a time.
<keestu>	lilmonkey,  where can i find official documentation that says only one camera supported ?
<keestu>	lilmonkey, i am able to show both the cameras... :) :)
<lilmonkey>	keestu: ok cool. it wasn't possible in the past, but i suppose a lot has changed recently.
<keestu>	:)
<keestu>	lilmonkey,  is it possible to display a browser window that sits always on top of the desktop applications ?
<keestu>	i feel not possible. but that of asking.
<lilmonkey>	never heard of any such thing.
<keestu>	ok
<anahumar>	can anyone tell why this html form is not functional? http://pastebin.com/knwk9mrd
<anahumar>	when i submit it doesn't show any variables in the url
<anahumar>	hello fuckers
<anahumar>	can any none fucker help out there
<oddskill>	how do i make the images (class img-sircle) (below carousel directly over the heading) to be links too ? http://getbootstrap.com/examples/carousel/
<oddskill>	simply put a ahref in same div ?
<oddskill>	got it sry for taking your time
<sirlagz>	azrael_-: have you even looked at the video.js website ?
<uxfi>	hi
<azrael_->	hi
<azrael_->	i want to stream a video file and provide the user a nice player. how can i set this up best?
<giuseppesolinas>	hello
<foofin>	hello!
<giuseppesolinas>	i'm having a problem with a html5 canvas that won't resize past a value in height
<giuseppesolinas>	keeping its ratio but cropping the lower part
<giuseppesolinas>	is there a way in which i can set this limit?
<lilmonkey>	foofin: i asked you to turn that off
<lilmonkey>	giuseppesolinas: not with html. #css probably.
<giuseppesolinas>	lilmonkey, css height does not affect canvas element in the proper way
<yaksman>	dunno/win 1
<cryp71c>	for something simple, like pong, is it concievable for it to be implemented using html5 and javascript elements? just javascript and traditional html / graphics elements?
<ravenzz>	bewilled: the browser will render the page and won't wait in that specific case
<ravenzz>	meaning that you can see unstyled stuff if you put your styles at the bottom of the page
<root3d>	hello everyone
<root3d>	i have some issue with validator.w3c.org
<root3d>	i am getting:  bad value ”og:title” for attribute property on element meta: the string og:title”” is not an absolute url. but its title there is no need for url. how's that possible ?
<iam>	is there a reason my page won't load a song with a question mark in the song name?
<itsgokul>	how to displaying overflow content inside template
<itsgokul>	without overflow:scroll
<oksushi>	itsgokul: #css is over there -->
<itsgokul>	ok
<keksike>	how to make my form work with form-completing or chrome autofill?
<krzkrz>	whats a good article that explains how to use html 5 elements (articles, aside, section, etc)?
<d3m0n>	krzkrz: can try out http://html5doctor.com/
<krzkrz>	ty
<tty>	hi. i want to check 2 fields if the entered email is the same
<tty>	i am using bootstfrap
<tty>	bootstrap.
<tty>	is there a way to validate this?
<d3m0n>	tty: with js, yes.
<tty>	d3m0n: do you have any example? i have tried http://reactiveraven.github.io/jqbootstrapvalidation/
<tty>	but didnt work
<d3m0n>	tty: works in the link you provided. are you sure you implemented it correctly?
<d3m0n>	also, make sure that works with the bootstrap js you included.
<d3m0n>	actually it doesnt even look like it uses it, just jquery
<tty>	d3m0n: hm ok will do a check
<d3m0n>	tty: it should work, check js errors on your browers too.
<fleshtheworld>	hey guys, im making a sortable table using jquery. what methods are there to update table list?
<fleshtheworld>	example, there are 10 people on the list, they are in order of who is paied the most, eventually the order will, plus more people may be added, etc.
<fleshtheworld>	paid*, and 'eventually order will change'
<krzkrz>	can you have two aside elements in an article?
<rabsimpson>	hi folks. i'd like to use a special character in the value of a form button, but entering the code (such as &#10142;) just outputs that instead of the character. any ideas?
<rabsimpson>	ignore me. the problem appears to be in changing the value using jquery. i'll ask in that channel.
<visage>	rabsimpson: um, no.
<visage>	rabsimpson: just use utf-8 everywhere and there won't be a problem.
<visage>	you never need to use an entity for that; entities have always been an escaping mechanism.
<rabsimpson>	visage: if i add the character to the html directly, it outputs as required, but i need to change it using jquery as the text changes before the form is submitted in order to guide the user.
<visage>	right, so, what's the problem with changing it to another utf-8 character?
<rabsimpson>	it's this specific character i'm looking to use.
<visage>	they're all available in unicode.
<rabsimpson>	apparently not if you're using jquery to set it.
<visage>	i'll add that to the list of reasons to not use failquery then. :)
<buscon>	hi all,
<buscon>	i am developing a simple html5 application and i would like to keep the mobile browser page alive, even if the user is not touching the screen
<buscon>	is it possible to set the timeout of android or ios with html5?
<buscon>	i mean, the timeout of the screen of the phone
<buscon>	i had some connection problems
<buscon>	in case someone has an answer to my question, i'm happy to read it :)
<alphaatom>	i don't think that it would be possible, given that the user sets that actually on the phone os and any potential solution would be hacky as hell i would imagine
<buscon>	i have found this:
<buscon>	https://developer.mozilla.org/en-us/docs/web/api/navigator/requestwakelock#specification
<buscon>	i'm also trying it out but don't see any effect...
<alphaatom>	buscon: "this feature is not on a current w3c standards track, but it is supported on the firefox os platform. although implementations may change in the future and it is not supported widely across browsers, it is suitable for use in code dedicated to firefox os apps."
<alphaatom>	from the top of that page
<buscon>	yes, in my case would be fine though, because it is a lan application
<alphaatom>	for firefox os only?
<buscon>	yes, i'd be fine with that
<buscon>	at least for the moment
<buscon>	but it doesn't look like working
<buscon>	my phone does turn off...
<buscon>	what i actually want is that the browser keep running a javascript even if the screen turn off
<buscon>	is that maybe possible
<buscon>	?
<frenchieuser12>	is the form attribute from the select element supported in ie
<frenchieuser12>	if not what other methods can i use to pass the selected option to my form when it is submitted in ie
<mhammons>	hi, is there a way to make css transitions apply to display: none -> display: block?
<visage>	mhammons: did you read our channel /topic when you joined?
<blackcat79>	hello
<siervo>	hey
<blackcat79>	because gmail won't let you email zip files anymore. how to you send your code to someone? i can't sent the folder because it opens up.
<siervo>	dropbox?
<blackcat79>	ok that might be something worth looking into.
<siervo>	are you sure they don't let you send zips?
<siervo>	i'm pretty sure i was able to do it a few weeks ago
<blackcat79>	i don't know if the recipient has drop box. its an employer interested in hiring me to code for them.
<siervo>	if you get dropbox or one drive you can generate a share link
<siervo>	i've used them both to send resumes out
<blackcat79>	can you use dropbox for free?
<siervo>	of course
<siervo>	onedrive is free also
<visage>	thiis is all cool, guys, but none of this is html-related.
<blackcat79>	ok. thanks. let me create an account.
<siervo>	yeah sorry visage
<siervo>	trying to help the guy
<blackcat79>	yes and i appreciate that.
<visage>	siervo: take it to pm then. :)
<visage>	blackcat79: in the future, #web for general web questions.
<uxfi>	elo
<levandia>	:)
<visage>	widoz: turn that off, please.
<widoz>	just do it, i'm so sorry
<t1960ct>	hello, can anyone help me figure out how to access my new domain with altervista? i paid for the redirect option but i cant figure out how to not have it always link back to sitename.altervista.org instead of sitename.com
<t1960ct>	from what i've read it has something to do with the dns, but those two things are in separate option categories and neither of them change anything
<t1960ct>	if i access the ip of sitename.com it brings me to a page confirming that the domain has been successfully set up, but i cant seem to access the page using the url without it being sent back to the .altervista.org one
<visage>	sigh.
<visage>	#html, the new "because domains and dns obviously deal with html."
<textmode>	visage: perhaps the topic line should say what we *don't* deal with?
<visage>	textmode: topics can't be that long, silly.
<visage>	i mean, we clearly don't deal with talk of various cheeses, but i'm not going to put that in the topic.
<textmode>	shit, you don't? where there goes my reason for being here!
<asahi>	i'm seeing some code that looks like <button class="foo"><a href>continue</a></button>. is there some tutorial on using an <a href> in this way, where href isn't given a value?
<visage>	asahi: that's invalid markup. you can't nest interactive content.
<visage>	asahi: the spec also says "the href attribute on a and area elements must have a value that is a valid url potentially surrounded by spaces." so yeah, it needs a valid url or you don't include that attribute at all.
<asahi>	visage: so an anchor tag cannot be nested in a button tag? or is it the lack of href value that makes it invalid?
<textmode>	both.
<visage>	no, you cannot nest an a in a button ever. those are interactive elements.
<asahi>	visage: i see. thank you
<visage>	and as i just said, an @href with no value is also invaild. when in doubt, validate.
<asahi>	got it
<atomicb0mb>	its necessary the use of <h1> inside the header tag?
<pagios>	 hi i am developing a cordvoa app, iframe in the app is scrollable from android smoothly but on ios i have to put my finger on the right side and try to catch the scrollbar to make it scroll, how can i make ios work like android by scrolling the iframe from anywhere on the window? here is my code any idea how to get scrolling working fine with ios? on android it works: http://pastie.org/10193819
